"","ID","adj.P.Val","P.Value","t","B","logFC","SPOT_ID"
"66343_at","66343_at",0.0997613650482105,0.00154201034684734,-3.56739121625756,-1.07812425062696,-0.133425984590764,66343
"270685_at","270685_at",0.100314063251781,0.00156001010457448,3.56273309131556,-1.08853784254173,0.223227911859103,270685
"71519_at","71519_at",0.100314063251781,0.00156879736600977,-3.56047810100002,-1.09357779267003,-0.211947694084394,71519
"15904_at","15904_at",0.100314063251781,0.0015730251853998,-3.55939755113005,-1.09599255358241,-0.190031054992878,15904
"12013_at","12013_at",0.101150731238379,0.0015993650284515,3.55272884036505,-1.11089128495467,0.110602154924493,12013
"19364_at","19364_at",0.101150731238379,0.00160187754295451,-3.55209833944453,-1.11229952875354,-0.108531987441464,19364
"108138_at","108138_at",0.101150731238379,0.00162411880747216,-3.54655878424946,-1.12466950868912,-0.1249560326666,108138
"194655_at","194655_at",0.101150731238379,0.00163169386200334,-3.54468899759671,-1.12884365825679,-0.109616043280017,194655
"17769_at","17769_at",0.101150731238379,0.00163432837135824,-3.54404069588799,-1.13029080581576,-0.153670756222425,17769
"235633_at","235633_at",0.101150731238379,0.00163883019754946,-3.54293524253564,-1.13275825351897,-0.120783922519129,235633
"107513_at","107513_at",0.101150731238379,0.00163901647839965,-3.54288956396553,-1.13286020688462,-0.0783777524344207,107513
"227333_at","227333_at",0.101704642885878,0.00166117030833583,3.53749298828659,-1.14490279307971,0.121075796243472,227333
"17988_at","17988_at",0.101704642885878,0.00166318076403877,-3.5370067340508,-1.14598764375351,-0.197200148225577,17988
"72240_at","72240_at",0.102162424043986,0.00169395321043834,3.52963480767933,-1.16242984645199,0.17072754803559,72240
"71795_at","71795_at",0.102162424043986,0.00170040639734077,3.52810546134758,-1.16583973150562,0.0982749463319457,71795
"20846_at","20846_at",0.102162424043986,0.00170144821547706,-3.52785909134511,-1.16638901007299,-0.0802442826979224,20846
"66664_at","66664_at",0.102162424043986,0.00171571501921039,3.52450000347021,-1.17387703075199,0.086893897837713,66664
"68971_at","68971_at",0.102162424043986,0.00171645222907521,3.52432717075879,-1.1742622549529,0.124801287003589,68971
"74032_at","74032_at",0.102162424043986,0.00172141086453695,-3.52316653938514,-1.17684903774559,-0.0895309061237901,74032
"331026_at","331026_at",0.102162424043986,0.0017240671919012,-3.52254613403777,-1.17823168638219,-0.154176215983961,331026
"56489_at","56489_at",0.103268729596315,0.00175044814951937,-3.51643481453765,-1.19184801191565,-0.125834672997687,56489
"60533_at","60533_at",0.103489324454541,0.00176191502207551,-3.51380641845339,-1.19770225233381,-0.196111022048268,60533
"12580_at","12580_at",0.104158079739466,0.00178618781332298,3.50829732441368,-1.20996884321695,0.208506963534691,12580
"14012_at","14012_at",0.104158079739466,0.00178885590950397,3.50769621971614,-1.21130695150172,0.0992625288720359,14012
"211914_at","211914_at",0.104239027580319,0.00179802982161393,-3.50563605060089,-1.21589258330461,-0.267548591396531,211914
"74137_at","74137_at",0.104977094654484,0.00182996398547673,-3.4985437703997,-1.23167332297457,-0.158874639245572,74137
"12953_at","12953_at",0.104977094654484,0.00183225344621835,3.498039950375,-1.23279401898595,0.156306224734279,12953
"236733_at","236733_at",0.104977094654484,0.00183427719154341,3.49759511482583,-1.23378347322268,0.144105625611366,236733
"70981_at","70981_at",0.105111967498062,0.00184746198465362,3.49470865572033,-1.2402030254564,0.238381926103111,70981
"21848_at","21848_at",0.105111967498062,0.00185233156582607,3.4936476682152,-1.24256231934876,0.125167325433232,21848
"217716_at","217716_at",0.105615181129381,0.001869085866761,-3.49001789480851,-1.25063226756875,-0.149890779967445,217716
"622434_at","622434_at",0.106267400435807,0.00188856341873671,3.48583780567888,-1.25992283318526,0.111265925352221,622434
